timestamp_hour;user_language;device;Out;In
10;en;iphone;pussnbootsmusic;norahjones
10;en;iphone;norahjones;pussnbootsmusic
10;en;iphone;pussnbootsmusic;sashadobson1
10;en;iphone;sashadobson1;pussnbootsmusic
10;en;iphone;norahjones;sashadobson1
10;en;iphone;sashadobson1;norahjones
10;en;web;steinmeier;unsc
10;en;web;unsc;steinmeier
10;en;web;steinmeier;irandeal
10;en;web;irandeal;steinmeier
10;en;web;unsc;irandeal
10;en;web;irandeal;unsc
10;pt;iphone;foto;abaesq
10;pt;iphone;abaesq;foto
10;en;instagram;hairbykiyahwright;https://t.co/qu9c1tecwx
10;en;instagram;https://t.co/qu9c1tecwx;hairbykiyahwright
10;en;web;mtv;https://t.co/4fnue5c6uh
10;en;web;https://t.co/4fnue5c6uh;mtv
10;pt;iphone;foto;abaesq
10;pt;iphone;abaesq;foto
10;en;web;marybethgriggs;trixxy
10;en;web;trixxy;marybethgriggs
10;en;iphone;candiscayne;imperialcourtny
10;en;iphone;imperialcourtny;candiscayne
10;en;iphone;candiscayne;worldofwonder
10;en;iphone;worldofwonder;candiscayne
10;en;iphone;imperialcourtny;worldofwonder
10;en;iphone;worldofwonder;imperialcourtny
10;en;iphone;4cuseduptwn;https://t.co/n50btavxac
10;en;iphone;https://t.co/n50btavxac;4cuseduptwn
10;en;web;johnkasich;andrewromano
10;en;web;andrewromano;johnkasich
10;en;web;dannyaston1;markneveldine
10;en;web;markneveldine;dannyaston1
10;en;web;jeffjsays;reallifekaz
10;en;web;reallifekaz;jeffjsays
10;en;instagram;firstopen;fulbrightprgrm
10;en;instagram;fulbrightprgrm;firstopen
10;en;instagram;firstopen;https://t.co/nmgsxdpatv
10;en;instagram;https://t.co/nmgsxdpatv;firstopen
10;en;instagram;fulbrightprgrm;https://t.co/nmgsxdpatv
10;en;instagram;https://t.co/nmgsxdpatv;fulbrightprgrm
10;en;web;ktheaney;https://t.co/mc2ywbsofj
10;en;web;https://t.co/mc2ywbsofj;ktheaney
11;en;web;henryriton;outputclubbk
11;en;web;outputclubbk;henryriton
11;en;instagram;pearsonfarmga;eatseasonally
11;en;instagram;eatseasonally;pearsonfarmga
11;en;instagram;pearsonfarmga;georgiapeaches
11;en;instagram;georgiapeaches;pearsonfarmga
11;en;instagram;pearsonfarmga;https://t.co/13ffecojrm
11;en;instagram;https://t.co/13ffecojrm;pearsonfarmga
11;en;instagram;eatseasonally;georgiapeaches
11;en;instagram;georgiapeaches;eatseasonally
11;en;instagram;eatseasonally;https://t.co/13ffecojrm
11;en;instagram;https://t.co/13ffecojrm;eatseasonally
11;en;instagram;georgiapeaches;https://t.co/13ffecojrm
11;en;instagram;https://t.co/13ffecojrm;georgiapeaches
11;en;web;marleematlin;springawakening
11;en;web;springawakening;marleematlin
11;en;web;marleematlin;springbway
11;en;web;springbway;marleematlin
11;en;web;springawakening;springbway
11;en;web;springbway;springawakening
11;en;instagram;pearsonfarmga;eatseasonally
11;en;instagram;eatseasonally;pearsonfarmga
11;en;instagram;pearsonfarmga;https://t.co/gh3ecblqwe
11;en;instagram;https://t.co/gh3ecblqwe;pearsonfarmga
11;en;instagram;eatseasonally;https://t.co/gh3ecblqwe
11;en;instagram;https://t.co/gh3ecblqwe;eatseasonally
11;en;web;ogilvyny;traveltuesday
11;en;web;traveltuesday;ogilvyny
11;en;web;ravefaced;henryriton
11;en;web;henryriton;ravefaced
11;en;web;ravefaced;outputclubbk
11;en;web;outputclubbk;ravefaced
11;en;web;henryriton;outputclubbk
11;en;web;outputclubbk;henryriton
11;en;web;burgerjointnyc;cgnry
11;en;web;cgnry;burgerjointnyc
11;en;web;rilynda;motionandrew
11;en;web;motionandrew;rilynda
11;en;web;rilynda;readitforward
11;en;web;readitforward;rilynda
11;en;web;motionandrew;readitforward
11;en;web;readitforward;motionandrew
11;en;iphone;dave;brennaehrlich
11;en;iphone;brennaehrlich;dave
11;en;web;sociallybrenda;mashable
11;en;web;mashable;sociallybrenda
11;en;web;savagezay74;king
11;en;web;king;savagezay74
11;en;web;savagezay74;jackanderson
11;en;web;jackanderson;savagezay74
11;en;web;king;jackanderson
11;en;web;jackanderson;king
11;en;web;sigtheatre;joecalarconyc
11;en;web;joecalarconyc;sigtheatre
11;en;web;jackanderson;theopening
11;en;web;theopening;jackanderson
11;en;http://tapbots.com/software/tweetbot/mac;stevetweedie;shotsfired
11;en;http://tapbots.com/software/tweetbot/mac;shotsfired;stevetweedie
11;en;instagram;itsdougthepug;nancyredd
11;en;instagram;nancyredd;itsdougthepug
11;en;instagram;itsdougthepug;huffpostlive
11;en;instagram;huffpostlive;itsdougthepug
11;en;instagram;itsdougthepug;https://t.co/dsz559w5py
11;en;instagram;https://t.co/dsz559w5py;itsdougthepug
11;en;instagram;nancyredd;huffpostlive
11;en;instagram;huffpostlive;nancyredd
11;en;instagram;nancyredd;https://t.co/dsz559w5py
11;en;instagram;https://t.co/dsz559w5py;nancyredd
11;en;instagram;huffpostlive;https://t.co/dsz559w5py
11;en;instagram;https://t.co/dsz559w5py;huffpostlive
11;en;instagram;didica;https://t.co/5bvumvroyv
11;en;instagram;https://t.co/5bvumvroyv;didica
12;en;instagram;slamxhype;agendashow
12;en;instagram;agendashow;slamxhype
12;en;instagram;slamxhype;godisgreat
12;en;instagram;godisgreat;slamxhype
12;en;instagram;slamxhype;teambrowne
12;en;instagram;teambrowne;slamxhype
12;en;instagram;slamxhype;hardworkpaysoff
12;en;instagram;hardworkpaysoff;slamxhype
12;en;instagram;slamxhype;https://t.co/olmhjpyq2b
12;en;instagram;https://t.co/olmhjpyq2b;slamxhype
12;en;instagram;agendashow;godisgreat
12;en;instagram;godisgreat;agendashow
12;en;instagram;agendashow;teambrowne
12;en;instagram;teambrowne;agendashow
12;en;instagram;agendashow;hardworkpaysoff
12;en;instagram;hardworkpaysoff;agendashow
12;en;instagram;agendashow;https://t.co/olmhjpyq2b
12;en;instagram;https://t.co/olmhjpyq2b;agendashow
12;en;instagram;godisgreat;teambrowne
12;en;instagram;teambrowne;godisgreat
12;en;instagram;godisgreat;hardworkpaysoff
12;en;instagram;hardworkpaysoff;godisgreat
12;en;instagram;godisgreat;https://t.co/olmhjpyq2b
12;en;instagram;https://t.co/olmhjpyq2b;godisgreat
12;en;instagram;teambrowne;hardworkpaysoff
12;en;instagram;hardworkpaysoff;teambrowne
12;en;instagram;teambrowne;https://t.co/olmhjpyq2b
12;en;instagram;https://t.co/olmhjpyq2b;teambrowne
12;en;instagram;hardworkpaysoff;https://t.co/olmhjpyq2b
12;en;instagram;https://t.co/olmhjpyq2b;hardworkpaysoff
12;en;iphone;shwayze;branville
12;en;iphone;branville;shwayze
12;en;iphone;shwayze;houston
12;en;iphone;houston;shwayze
12;en;iphone;branville;houston
12;en;iphone;houston;branville
12;en;web;buildseries;robert
12;en;web;robert;buildseries
12;en;web;buildseries;steveboyer5000
12;en;web;steveboyer5000;buildseries
12;en;web;robert;steveboyer5000
12;en;web;steveboyer5000;robert
12;en;web;rfaughnder;billlascher
12;en;web;billlascher;rfaughnder
12;en;web;rfaughnder;tbashpod
12;en;web;tbashpod;rfaughnder
12;en;web;billlascher;tbashpod
12;en;web;tbashpod;billlascher
12;en;iphone;mitchellreports;iava
12;en;iphone;iava;mitchellreports
12;en;iphone;mitchellreports;paulrieckhoff
12;en;iphone;paulrieckhoff;mitchellreports
12;en;iphone;mitchellreports;veterans
12;en;iphone;veterans;mitchellreports
12;en;iphone;iava;paulrieckhoff
12;en;iphone;paulrieckhoff;iava
12;en;iphone;iava;veterans
12;en;iphone;veterans;iava
12;en;iphone;paulrieckhoff;veterans
12;en;iphone;veterans;paulrieckhoff
12;en;iphone;mitchellreports;iava
12;en;iphone;iava;mitchellreports
12;en;iphone;mitchellreports;paulrieckhoff
12;en;iphone;paulrieckhoff;mitchellreports
12;en;iphone;mitchellreports;veterans
12;en;iphone;veterans;mitchellreports
12;en;iphone;iava;paulrieckhoff
12;en;iphone;paulrieckhoff;iava
12;en;iphone;iava;veterans
12;en;iphone;veterans;iava
12;en;iphone;paulrieckhoff;veterans
12;en;iphone;veterans;paulrieckhoff
12;en;iphone;bronx;lgbt
12;en;iphone;lgbt;bronx
12;en;iphone;bronx;nyc
12;en;iphone;nyc;bronx
12;en;iphone;bronx;ritchietorres
12;en;iphone;ritchietorres;bronx
12;en;iphone;bronx;cityhall
12;en;iphone;cityhall;bronx
12;en;iphone;lgbt;nyc
12;en;iphone;nyc;lgbt
12;en;iphone;lgbt;ritchietorres
12;en;iphone;ritchietorres;lgbt
12;en;iphone;lgbt;cityhall
12;en;iphone;cityhall;lgbt
12;en;iphone;nyc;ritchietorres
12;en;iphone;ritchietorres;nyc
12;en;iphone;nyc;cityhall
12;en;iphone;cityhall;nyc
12;en;iphone;ritchietorres;cityhall
12;en;iphone;cityhall;ritchietorres
12;en;instagram;bts;production
12;en;instagram;production;bts
12;en;instagram;bts;pilot
12;en;instagram;pilot;bts
12;en;instagram;bts;tv
12;en;instagram;tv;bts
12;en;instagram;bts;host
