"3039","134286303","Place Bir-Hakeim","Au niveau de la rue Duvivier","2005-05-24 00:00:00","2086740","795987","45.7526","4.85571"
"3043","134286307","Place Rouget de l Isle","Avenue Lacassagne","2005-07-21 00:00:00","2086960","796859","45.754","4.86723"
"3044","134286308","Quai Augagneur","Entre rue de Bonnel et rue Rabelais","2005-09-28 00:00:00","2087620","794834","45.762","4.84105"
"3051","134286315","Place Henri","Angle rue Docteur Long/av. Lacassagne","2005-07-22 00:00:00","2086290","797940","45.7482","4.88056"
"3053","134286317","Gambetta / Jusserand","Angle cours Gambetta","2005-06-20 00:00:00","2086550","795973","45.7511","4.85558"
"3058","134286322","Place du Lac","Face à la poste","2005-06-28 00:00:00","2087400","795791","45.7588","4.85388"
"3066","134286330","Kimmerling / Faure","Angle avenue Félix Faure / rue Jean-Pierre Lévy","2007-05-16 00:00:00","2086940","796612","45.7543","4.86346"
"3067","134286331","Hachette","Devant n°2 rue Renoir","2006-06-19 00:00:00","2086800","796601","45.7529","4.86396"
"3071","134286335","Bioparc","Avenue Rockfell","2007-10-14 00:00:00","2085460","798552","45.7404","4.88821"
"3079","134286343","Place Louise","Face au n°4 place Louise","2007-09-20 00:00:00","2086610","798251","45.7512","4.88482"
"3080","134286344","Part-Dieu / Villette",,"2007-09-29 00:00:00","2087570","796398","45.7601","4.86175"
"3082","134286346","Place Bahadourian",,"2006-07-26 00:00:00","2087250","795137","45.7576","4.84511"
"3083","134286347","Les Halles","183 rue André Philip","2007-10-31 00:00:00","2087740","795526","45.7615","4.85048"
"3084","134286348","Desaix","Face à la Maison de l Enfance","2006-07-05 00:00:00","2087240","795990","45.7573","4.8552"
"3085","134286349","Sacré Coeur","Au niveau du n°66 rue Charrial","2006-10-06 00:00:00","2087190","796938","45.7578","4.86839"
"3086","134286350","Feuillat / Lacassagne","Face au n°115 avenue Lacassagne","2006-09-23 00:00:00","2086440","797557","45.7496","4.87602"
"3087","134286351","Part-Dieu / Garibaldi","Face au n°4 bd Eugène Deruelle","2006-07-29 00:00:00","2087850","795687","45.7628","4.8523"
"3088","134286352","Place Guichard","Face au n°51 rue Moncey","2006-09-01 00:00:00","2087400","795258","45.7588","4.84654"
"3089","134286353","Trarieux / Lacassagne","221 avenue Lacassagne","2007-04-28 00:00:00","2086000","798594","45.7453","4.88896"
"3090","134286354","Vinatier","Angle bd Pinel / avenue d Esquir","2007-06-20 00:00:00","2085620","798946","45.7419","4.8935"
"3091","134286355","Hôpital Neurologique","59 bd Pinel","2007-10-25 00:00:00","2086380","799214","45.7482","4.89695"
"3094","134286358","Villette / Paul Bert","74 rue de la Villette","2007-10-26 00:00:00","2087300","796404","45.7578","4.86169"
"3097","134286361","Augagneur / Fosse aux Our","Angle quai Augagneur / pont de la Guillotière","2007-02-19 00:00:00","2087170","794735","45.7572","4.84037"
"3099","134286363","Place Sainte Anne","230 rue Paul Bert","2007-10-09 00:00:00","2087270","796694","45.757","4.86544"
"3100","134286364","Sisley / Dauphiné","Face au n°4 rue Paul Sisley","2007-09-18 00:00:00","2086780","796978","45.7528","4.8688"
"3101","134286365","Patinoire Baraban","52 rue Baraban","2007-09-30 00:00:00","2087770","796912","45.7625","4.8686"
"3102","134286366","Dr Long / Aubépins","2 rue de la Caille","2007-10-27 00:00:00","2086700","798766","45.7526","4.89425"
"3103","134286367","Place Danton","4 place Danton","2007-09-30 00:00:00","2086980","796117","45.7548","4.85754"
"4001","134287265","Conservatoire","Au sud du n°1 quai Joseph Gillet","2007-09-22 00:00:00","2088620","792697","45.7704","4.81424"
"4002","134287266","Mairie du 4°","Devant la mairie du 4°","2005-05-23 00:00:00","2089050","793713","45.7742","4.82776"
"4003","134287267","Place Commandant  Arnaud","Angle rue de Belfort","2005-08-22 00:00:00","2089690","794259","45.7797","4.83478"
"4004","134287268","Hénon","Angle rue Hénon","2005-05-23 00:00:00","2089670","793700","45.7797","4.82763"
"4005","134287269","Place Bertone","Rue du Chariot d Or","2005-05-24 00:00:00","2089460","794242","45.7776","4.83469"
"4006","134287270","Philippe de Lasalle","Angle rue Ansel","2005-05-25 00:00:00","2089060","793216","45.7733","4.82131"
"4007","134287271","Place Flammarion","Côté Rue Philippe de Lassalle","2005-06-29 00:00:00","2089600","793118","45.7793","4.82024"
"4009","134287273","Jacquard / Denfert-Rocher","Rue Denfert-Rochereau / Angle rue Jacquart","2005-07-09 00:00:00","2089240","793554","45.7759","4.82542"
"4011","134287275","Place Jean Ambre","Place Jean Ambre","2005-05-23 00:00:00","2089880","794102","45.7815","4.83284"
"4012","134287276","Place Adrien Godien","Angle montée de la Boucle","2005-09-24 00:00:00","2089660","794741","45.7792","4.84095"
"4014","134287278","Philippe de Lassalle / Pi","Angle rue Pillement","2005-07-11 00:00:00","2089390","793148","45.7774","4.82049"
"4017","134287281","Place des Tapis","Angle Bvd de la Croix-Rousse","2005-07-05 00:00:00","2089270","793861","45.7761","4.82947"
"4021","134287285","Tabareau","Angle Bvd de la Croix-Rousse","2005-07-23 00:00:00","2089030","793529","45.7741","4.82519"
"4022","134287286","Place de la Croix-Rousse","Prox. Grande rue de la Croix-Rousse","2005-08-18 00:00:00","2089270","794100","45.7761","4.8325"
"4023","134287287","Pont Mazaryk","Face au 45 quai Gillet","2006-06-12 00:00:00","2089460","792382","45.7782","4.81064"
"4025","134287289","Parc Cerisaie","Rue Chazière","2006-09-13 00:00:00","2089160","792962","45.7754","4.81787"
"4041","134287305","Boussange / Austerlitz","1bis rue Aimé Boussange","2007-11-24 00:00:00","2089220","794297","45.7755","4.83506"
"4042","134287306","Stade Grégory Coupet","63 rue Philippe de Lassalle","2007-10-31 00:00:00","2089930","793135","45.7818","4.8206"
