timestamp_hour;tweets_count;Out;In
N;N;S;S
11;3;#job;#jobs
11;3;#jobs;#job
11;3;#job;#hiring
11;3;#hiring;#job
11;3;#job;#careerarc
11;3;#careerarc;#job
11;3;#jobs;#hiring
11;3;#hiring;#jobs
11;3;#jobs;#careerarc
11;3;#careerarc;#jobs
11;3;#hiring;#careerarc
11;3;#careerarc;#hiring
11;3;#brooklyn;#internship
11;3;#internship;#brooklyn
11;3;#brooklyn;#job
11;3;#job;#brooklyn
11;3;#brooklyn;#jobs
11;3;#jobs;#brooklyn
11;3;#brooklyn;#hiring
11;3;#hiring;#brooklyn
11;3;#brooklyn;#careerarc
11;3;#careerarc;#brooklyn
11;3;#internship;#job
11;3;#job;#internship
11;3;#internship;#jobs
11;3;#jobs;#internship
11;3;#internship;#hiring
11;3;#hiring;#internship
11;3;#internship;#careerarc
11;3;#careerarc;#internship
11;3;#job;#jobs
11;3;#jobs;#job
11;3;#job;#hiring
11;3;#hiring;#job
11;3;#job;#careerarc
11;3;#careerarc;#job
11;3;#jobs;#hiring
11;3;#hiring;#jobs
11;3;#jobs;#careerarc
11;3;#careerarc;#jobs
11;3;#hiring;#careerarc
11;3;#careerarc;#hiring
11;2;#newyork;#job
11;2;#job;#newyork
11;2;#newyork;#accounting
11;2;#accounting;#newyork
11;2;#newyork;#hiring
11;2;#hiring;#newyork
11;2;#job;#accounting
11;2;#accounting;#job
11;2;#job;#hiring
11;2;#hiring;#job
11;2;#accounting;#hiring
11;2;#hiring;#accounting
11;3;#nyfw;#nyc
11;3;#nyc;#nyfw
11;3;@billdeblasio;#education
11;3;#education;@billdeblasio
11;4;#moments;#family
11;4;#family;#moments
11;4;#moments;#purpose
11;4;#purpose;#moments
11;4;#family;#purpose
11;4;#purpose;#family
11;5;@michaelkors;#nyfw
11;5;#nyfw;@michaelkors
11;3;#retail;#job
11;3;#job;#retail
11;3;#retail;#newyork
11;3;#newyork;#retail
11;3;#retail;#hiring
11;3;#hiring;#retail
11;3;#retail;#careerarc
11;3;#careerarc;#retail
11;3;#job;#newyork
11;3;#newyork;#job
11;3;#job;#hiring
11;3;#hiring;#job
11;3;#job;#careerarc
11;3;#careerarc;#job
11;3;#newyork;#hiring
11;3;#hiring;#newyork
11;3;#newyork;#careerarc
11;3;#careerarc;#newyork
11;3;#hiring;#careerarc
11;3;#careerarc;#hiring
11;5;@michaelkors;#nyfw
11;5;#nyfw;@michaelkors
11;1;#manufacturing;#job
11;1;#job;#manufacturing
11;1;#manufacturing;#newyork
11;1;#newyork;#manufacturing
11;1;#manufacturing;#hiring
11;1;#hiring;#manufacturing
11;1;#job;#newyork
11;1;#newyork;#job
11;1;#job;#hiring
11;1;#hiring;#job
11;1;#newyork;#hiring
11;1;#hiring;#newyork
11;3;#bookboost;#winewednesday
11;3;#winewednesday;#bookboost
11;4;@linspiredinca;@nardiahuang
11;4;@nardiahuang;@linspiredinca
11;4;@linspiredinca;@amazon
11;4;@amazon;@linspiredinca
11;4;@nardiahuang;@amazon
11;4;@amazon;@nardiahuang
11;3;#inspiration;#quote
11;3;#quote;#inspiration
11;4;#dicethegod;#nyfw15
11;4;#nyfw15;#dicethegod
11;4;#doctorwho;@doctorwho
11;4;@doctorwho;#doctorwho
11;4;#genderswag;#love
11;4;#love;#genderswag
11;4;#genderswag;#lgbt
11;4;#lgbt;#genderswag
11;4;#genderswag;#allies
11;4;#allies;#genderswag
11;4;#love;#lgbt
11;4;#lgbt;#love
11;4;#love;#allies
11;4;#allies;#love
11;4;#lgbt;#allies
11;4;#allies;#lgbt
11;2;#businessmgmt;#job
11;2;#job;#businessmgmt
11;2;#businessmgmt;#newyork
11;2;#newyork;#businessmgmt
11;2;#businessmgmt;#kellyjobs
11;2;#kellyjobs;#businessmgmt
11;2;#businessmgmt;#kellyservices
11;2;#kellyservices;#businessmgmt
11;2;#businessmgmt;#jobs
11;2;#jobs;#businessmgmt
11;2;#businessmgmt;#hiring
11;2;#hiring;#businessmgmt
11;2;#job;#newyork
11;2;#newyork;#job
11;2;#job;#kellyjobs
11;2;#kellyjobs;#job
11;2;#job;#kellyservices
11;2;#kellyservices;#job
11;2;#job;#jobs
11;2;#jobs;#job
11;2;#job;#hiring
11;2;#hiring;#job
11;2;#newyork;#kellyjobs
11;2;#kellyjobs;#newyork
11;2;#newyork;#kellyservices
11;2;#kellyservices;#newyork
11;2;#newyork;#jobs
11;2;#jobs;#newyork
11;2;#newyork;#hiring
11;2;#hiring;#newyork
11;2;#kellyjobs;#kellyservices
11;2;#kellyservices;#kellyjobs
11;2;#kellyjobs;#jobs
11;2;#jobs;#kellyjobs
11;2;#kellyjobs;#hiring
11;2;#hiring;#kellyjobs
11;2;#kellyservices;#jobs
11;2;#jobs;#kellyservices
11;2;#kellyservices;#hiring
11;2;#hiring;#kellyservices
11;2;#jobs;#hiring
11;2;#hiring;#jobs
11;4;#genderswag;#love
11;4;#love;#genderswag
11;4;#genderswag;#lgbt
11;4;#lgbt;#genderswag
11;4;#genderswag;#allies
11;4;#allies;#genderswag
11;4;#love;#lgbt
11;4;#lgbt;#love
11;4;#love;#allies
11;4;#allies;#love
11;4;#lgbt;#allies
11;4;#allies;#lgbt
11;2;#albany;#pharmaceutical
11;2;#pharmaceutical;#albany
11;2;#albany;#job
11;2;#job;#albany
11;2;#albany;#jobs
11;2;#jobs;#albany
11;2;#albany;#hiring
11;2;#hiring;#albany
11;2;#pharmaceutical;#job
11;2;#job;#pharmaceutical
11;2;#pharmaceutical;#jobs
11;2;#jobs;#pharmaceutical
11;2;#pharmaceutical;#hiring
11;2;#hiring;#pharmaceutical
11;2;#job;#jobs
11;2;#jobs;#job
11;2;#job;#hiring
11;2;#hiring;#job
11;2;#jobs;#hiring
11;2;#hiring;#jobs
11;3;#manhattan;#newyork
11;3;#newyork;#manhattan
11;3;#manhattan;#nyfw
11;3;#nyfw;#manhattan
11;3;#manhattan;#ny
11;3;#ny;#manhattan
11;3;#manhattan;#snapchat
11;3;#snapchat;#manhattan
11;3;#newyork;#nyfw
11;3;#nyfw;#newyork
11;3;#newyork;#ny
11;3;#ny;#newyork
11;3;#newyork;#snapchat
11;3;#snapchat;#newyork
11;3;#nyfw;#ny
11;3;#ny;#nyfw
11;3;#nyfw;#snapchat
11;3;#snapchat;#nyfw
11;3;#ny;#snapchat
11;3;#snapchat;#ny
11;4;#genderswag;#love
11;4;#love;#genderswag
11;4;#genderswag;#lgbt
11;4;#lgbt;#genderswag
11;4;#genderswag;#allies
11;4;#allies;#genderswag
11;4;#love;#lgbt
11;4;#lgbt;#love
11;4;#love;#allies
11;4;#allies;#love
11;4;#lgbt;#allies
11;4;#allies;#lgbt
11;4;#nyfw;#michaelkors
11;4;#michaelkors;#nyfw
11;4;#genderswag;#love
11;4;#love;#genderswag
11;4;#genderswag;#lgbt
11;4;#lgbt;#genderswag
11;4;#genderswag;#allies
11;4;#allies;#genderswag
11;4;#love;#lgbt
11;4;#lgbt;#love
11;4;#love;#allies
11;4;#allies;#love
11;4;#lgbt;#allies
11;4;#allies;#lgbt
11;4;#genderswag;#love
11;4;#love;#genderswag
11;4;#genderswag;#lgbt
11;4;#lgbt;#genderswag
11;4;#genderswag;#allies
11;4;#allies;#genderswag
11;4;#love;#lgbt
11;4;#lgbt;#love
11;4;#love;#allies
11;4;#allies;#love
11;4;#lgbt;#allies
11;4;#allies;#lgbt
11;3;#job;#dialysis
11;3;#dialysis;#job
11;3;#job;#brooklyn
11;3;#brooklyn;#job
11;3;#job;#hiring
11;3;#hiring;#job
11;3;#job;#careerarc
11;3;#careerarc;#job
11;3;#dialysis;#brooklyn
11;3;#brooklyn;#dialysis
11;3;#dialysis;#hiring
11;3;#hiring;#dialysis
11;3;#dialysis;#careerarc
11;3;#careerarc;#dialysis
11;3;#brooklyn;#hiring
11;3;#hiring;#brooklyn
11;3;#brooklyn;#careerarc
11;3;#careerarc;#brooklyn
11;3;#hiring;#careerarc
11;3;#careerarc;#hiring
11;2;#america;#wallstreet
11;2;#wallstreet;#america
11;2;#america;#diversity
11;2;#diversity;#america
11;2;#wallstreet;#diversity
11;2;#diversity;#wallstreet
11;4;#genderswag;#love
11;4;#love;#genderswag
11;4;#genderswag;#lgbt
11;4;#lgbt;#genderswag
11;4;#genderswag;#allies
11;4;#allies;#genderswag
11;4;#love;#lgbt
11;4;#lgbt;#love
11;4;#love;#allies
11;4;#allies;#love
11;4;#lgbt;#allies
11;4;#allies;#lgbt
11;4;#genderswag;#love
11;4;#love;#genderswag
11;4;#genderswag;#lgbt
11;4;#lgbt;#genderswag
11;4;#genderswag;#allies
11;4;#allies;#genderswag
11;4;#love;#lgbt
11;4;#lgbt;#love
11;4;#love;#allies
11;4;#allies;#love
11;4;#lgbt;#allies
11;4;#allies;#lgbt
11;1;#physician;#job
11;1;#job;#physician
11;1;#physician;#astoria
11;1;#astoria;#physician
11;1;#physician;#veterans
11;1;#veterans;#physician
11;1;#physician;#jobs
11;1;#jobs;#physician
11;1;#physician;#hiring
11;1;#hiring;#physician
11;1;#job;#astoria
11;1;#astoria;#job
11;1;#job;#veterans
11;1;#veterans;#job
11;1;#job;#jobs
11;1;#jobs;#job
11;1;#job;#hiring
11;1;#hiring;#job
11;1;#astoria;#veterans
11;1;#veterans;#astoria
11;1;#astoria;#jobs
11;1;#jobs;#astoria
11;1;#astoria;#hiring
11;1;#hiring;#astoria
11;1;#veterans;#jobs
11;1;#jobs;#veterans
11;1;#veterans;#hiring
11;1;#hiring;#veterans
11;1;#jobs;#hiring
11;1;#hiring;#jobs
11;4;#genderswag;#love
11;4;#love;#genderswag
11;4;#genderswag;#lgbt
11;4;#lgbt;#genderswag
11;4;#genderswag;#allies
11;4;#allies;#genderswag
