followers_count;friends_count;tweets_count;Out;In
2;2;3;#hiring;#job
2;2;3;#job;#careerarc
2;2;3;#careerarc;#job
2;2;3;#jobs;#hiring
2;2;3;#hiring;#jobs
2;2;3;#jobs;#careerarc
2;2;3;#careerarc;#jobs
2;2;3;#hiring;#careerarc
2;2;3;#careerarc;#hiring
2;2;2;#newyork;#job
2;2;2;#job;#newyork
2;2;2;#newyork;#accounting
2;2;2;#accounting;#newyork
2;2;2;#newyork;#hiring
2;2;2;#hiring;#newyork
2;2;2;#job;#accounting
2;2;2;#accounting;#job
2;2;2;#job;#hiring
2;2;2;#hiring;#job
2;2;2;#accounting;#hiring
2;2;2;#hiring;#accounting
2;3;3;#nyfw;#nyc
2;3;3;#nyc;#nyfw
2;2;3;@billdeblasio;#education
2;2;3;#education;@billdeblasio
2;2;4;#moments;#family
2;2;4;#family;#moments
2;2;4;#moments;#purpose
2;2;4;#purpose;#moments
2;2;4;#family;#purpose
2;2;4;#purpose;#family
6;3;5;@michaelkors;#nyfw
6;3;5;#nyfw;@michaelkors
2;2;3;#retail;#job
2;2;3;#job;#retail
2;2;3;#retail;#newyork
2;2;3;#newyork;#retail
2;2;3;#retail;#hiring
2;2;3;#hiring;#retail
2;2;3;#retail;#careerarc
2;2;3;#careerarc;#retail
2;2;3;#job;#newyork
2;2;3;#newyork;#job
2;2;3;#job;#hiring
2;2;3;#hiring;#job
2;2;3;#job;#careerarc
2;2;3;#careerarc;#job
2;2;3;#newyork;#hiring
2;2;3;#hiring;#newyork
2;2;3;#newyork;#careerarc
2;2;3;#careerarc;#newyork
2;2;3;#hiring;#careerarc
2;2;3;#careerarc;#hiring
6;3;5;@michaelkors;#nyfw
6;3;5;#nyfw;@michaelkors
2;2;1;#manufacturing;#job
2;2;1;#job;#manufacturing
2;2;1;#manufacturing;#newyork
2;2;1;#newyork;#manufacturing
2;2;1;#manufacturing;#hiring
2;2;1;#hiring;#manufacturing
2;2;1;#job;#newyork
2;2;1;#newyork;#job
2;2;1;#job;#hiring
2;2;1;#hiring;#job
2;2;1;#newyork;#hiring
2;2;1;#hiring;#newyork
3;2;3;#bookboost;#winewednesday
3;2;3;#winewednesday;#bookboost
2;2;4;@linspiredinca;@nardiahuang
2;2;4;@nardiahuang;@linspiredinca
2;2;4;@linspiredinca;@amazon
2;2;4;@amazon;@linspiredinca
2;2;4;@nardiahuang;@amazon
2;2;4;@amazon;@nardiahuang
2;3;3;#inspiration;#quote
2;3;3;#quote;#inspiration
3;2;4;#dicethegod;#nyfw15
3;2;4;#nyfw15;#dicethegod
3;2;4;#doctorwho;@doctorwho
3;2;4;@doctorwho;#doctorwho
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
2;3;4;#love;#allies
2;3;4;#allies;#love
2;3;4;#lgbt;#allies
2;3;4;#allies;#lgbt
2;2;2;#businessmgmt;#job
2;2;2;#job;#businessmgmt
2;2;2;#businessmgmt;#newyork
2;2;2;#newyork;#businessmgmt
2;2;2;#businessmgmt;#kellyjobs
2;2;2;#kellyjobs;#businessmgmt
2;2;2;#businessmgmt;#kellyservices
2;2;2;#kellyservices;#businessmgmt
2;2;2;#businessmgmt;#jobs
2;2;2;#jobs;#businessmgmt
2;2;2;#businessmgmt;#hiring
2;2;2;#hiring;#businessmgmt
2;2;2;#job;#newyork
2;2;2;#newyork;#job
2;2;2;#job;#kellyjobs
2;2;2;#kellyjobs;#job
2;2;2;#job;#kellyservices
2;2;2;#kellyservices;#job
2;2;2;#job;#jobs
2;2;2;#jobs;#job
2;2;2;#job;#hiring
2;2;2;#hiring;#job
2;2;2;#newyork;#kellyjobs
2;2;2;#kellyjobs;#newyork
2;2;2;#newyork;#kellyservices
2;2;2;#kellyservices;#newyork
2;2;2;#newyork;#jobs
2;2;2;#jobs;#newyork
2;2;2;#newyork;#hiring
2;2;2;#hiring;#newyork
2;2;2;#kellyjobs;#kellyservices
2;2;2;#kellyservices;#kellyjobs
2;2;2;#kellyjobs;#jobs
2;2;2;#jobs;#kellyjobs
2;2;2;#kellyjobs;#hiring
2;2;2;#hiring;#kellyjobs
2;2;2;#kellyservices;#jobs
2;2;2;#jobs;#kellyservices
2;2;2;#kellyservices;#hiring
2;2;2;#hiring;#kellyservices
2;2;2;#jobs;#hiring
2;2;2;#hiring;#jobs
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
2;3;4;#love;#allies
2;3;4;#allies;#love
2;3;4;#lgbt;#allies
2;3;4;#allies;#lgbt
1;0;2;#albany;#pharmaceutical
1;0;2;#pharmaceutical;#albany
1;0;2;#albany;#job
1;0;2;#job;#albany
1;0;2;#albany;#jobs
1;0;2;#jobs;#albany
1;0;2;#albany;#hiring
1;0;2;#hiring;#albany
1;0;2;#pharmaceutical;#job
1;0;2;#job;#pharmaceutical
1;0;2;#pharmaceutical;#jobs
1;0;2;#jobs;#pharmaceutical
1;0;2;#pharmaceutical;#hiring
1;0;2;#hiring;#pharmaceutical
1;0;2;#job;#jobs
1;0;2;#jobs;#job
1;0;2;#job;#hiring
1;0;2;#hiring;#job
1;0;2;#jobs;#hiring
1;0;2;#hiring;#jobs
3;3;3;#manhattan;#newyork
3;3;3;#newyork;#manhattan
3;3;3;#manhattan;#nyfw
3;3;3;#nyfw;#manhattan
3;3;3;#manhattan;#ny
3;3;3;#ny;#manhattan
3;3;3;#manhattan;#snapchat
3;3;3;#snapchat;#manhattan
3;3;3;#newyork;#nyfw
3;3;3;#nyfw;#newyork
3;3;3;#newyork;#ny
3;3;3;#ny;#newyork
3;3;3;#newyork;#snapchat
3;3;3;#snapchat;#newyork
3;3;3;#nyfw;#ny
3;3;3;#ny;#nyfw
3;3;3;#nyfw;#snapchat
3;3;3;#snapchat;#nyfw
3;3;3;#ny;#snapchat
3;3;3;#snapchat;#ny
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
2;3;4;#love;#allies
2;3;4;#allies;#love
2;3;4;#lgbt;#allies
2;3;4;#allies;#lgbt
2;3;4;#nyfw;#michaelkors
2;3;4;#michaelkors;#nyfw
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
2;3;4;#love;#allies
2;3;4;#allies;#love
2;3;4;#lgbt;#allies
2;3;4;#allies;#lgbt
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
2;3;4;#love;#allies
2;3;4;#allies;#love
2;3;4;#lgbt;#allies
2;3;4;#allies;#lgbt
2;2;3;#job;#dialysis
2;2;3;#dialysis;#job
2;2;3;#job;#brooklyn
2;2;3;#brooklyn;#job
2;2;3;#job;#hiring
2;2;3;#hiring;#job
2;2;3;#job;#careerarc
2;2;3;#careerarc;#job
2;2;3;#dialysis;#brooklyn
2;2;3;#brooklyn;#dialysis
2;2;3;#dialysis;#hiring
2;2;3;#hiring;#dialysis
2;2;3;#dialysis;#careerarc
2;2;3;#careerarc;#dialysis
2;2;3;#brooklyn;#hiring
2;2;3;#hiring;#brooklyn
2;2;3;#brooklyn;#careerarc
2;2;3;#careerarc;#brooklyn
2;2;3;#hiring;#careerarc
2;2;3;#careerarc;#hiring
1;2;2;#america;#wallstreet
1;2;2;#wallstreet;#america
1;2;2;#america;#diversity
1;2;2;#diversity;#america
1;2;2;#wallstreet;#diversity
1;2;2;#diversity;#wallstreet
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
2;3;4;#love;#allies
2;3;4;#allies;#love
2;3;4;#lgbt;#allies
2;3;4;#allies;#lgbt
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
2;3;4;#love;#allies
2;3;4;#allies;#love
2;3;4;#lgbt;#allies
2;3;4;#allies;#lgbt
2;2;1;#physician;#job
2;2;1;#job;#physician
2;2;1;#physician;#astoria
2;2;1;#astoria;#physician
2;2;1;#physician;#veterans
2;2;1;#veterans;#physician
2;2;1;#physician;#jobs
2;2;1;#jobs;#physician
2;2;1;#physician;#hiring
2;2;1;#hiring;#physician
2;2;1;#job;#astoria
2;2;1;#astoria;#job
2;2;1;#job;#veterans
2;2;1;#veterans;#job
2;2;1;#job;#jobs
2;2;1;#jobs;#job
2;2;1;#job;#hiring
2;2;1;#hiring;#job
2;2;1;#astoria;#veterans
2;2;1;#veterans;#astoria
2;2;1;#astoria;#jobs
2;2;1;#jobs;#astoria
2;2;1;#astoria;#hiring
2;2;1;#hiring;#astoria
2;2;1;#veterans;#jobs
2;2;1;#jobs;#veterans
2;2;1;#veterans;#hiring
2;2;1;#hiring;#veterans
2;2;1;#jobs;#hiring
2;2;1;#hiring;#jobs
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
2;3;4;#love;#allies
2;3;4;#allies;#love
2;3;4;#lgbt;#allies
2;3;4;#allies;#lgbt
2;2;3;@todayshow;@hodakotb
2;2;3;@hodakotb;@todayshow
2;2;3;@todayshow;@kathielgifford
2;2;3;@kathielgifford;@todayshow
2;2;3;@hodakotb;@kathielgifford
2;2;3;@kathielgifford;@hodakotb
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
2;3;4;#love;#allies
2;3;4;#allies;#love
2;3;4;#lgbt;#allies
2;3;4;#allies;#lgbt
3;2;3;@billdeblasio;@nycschools
3;2;3;@nycschools;@billdeblasio
3;3;4;@nycschools;@billdeblasio
3;3;4;@billdeblasio;@nycschools
2;3;4;#genderswag;#love
2;3;4;#love;#genderswag
2;3;4;#genderswag;#lgbt
2;3;4;#lgbt;#genderswag
2;3;4;#genderswag;#allies
2;3;4;#allies;#genderswag
2;3;4;#love;#lgbt
2;3;4;#lgbt;#love
